model,dataset,trial_id,fold,n_estimators,max_depth,train_acc,val_acc,test_acc,generalization_gap,elapsed_time,source_file
FBT,magic,0,3,20,5,0.798142,0.796559,0.788864,0.009278,30.056777,fbt_capability_magic_n20_d5_trial_0_fold_3.json
FBT,magic,0,3,20,4,0.784578,0.774869,0.774664,0.009914,13.426665,fbt_capability_magic_n20_d4_trial_0_fold_3.json
FBT,magic,0,3,60,3,0.804443,0.798055,0.797085,0.007358,24.265092,fbt_capability_magic_n60_d3_trial_0_fold_3.json
FBT,magic,0,3,10,5,0.772295,0.760658,0.764948,0.007347,9.490366,fbt_capability_magic_n10_d5_trial_0_fold_3.json
FBT,magic,0,3,10,4,0.807327,0.794316,0.796712,0.010615,4.211103,fbt_capability_magic_n10_d4_trial_0_fold_3.json
FBT,magic,0,3,10,3,0.795151,0.789828,0.783632,0.011519,2.253927,fbt_capability_magic_n10_d3_trial_0_fold_3.json
FBT,magic,0,4,40,3,0.813308,0.807031,0.812033,0.001275,17.514149,fbt_capability_magic_n40_d3_trial_0_fold_4.json
FBT,magic,0,4,100,3,0.782228,0.761406,0.785127,-0.002899,47.464556,fbt_capability_magic_n100_d3_trial_0_fold_4.json
FBT,magic,0,4,40,4,0.800598,0.787584,0.792227,0.008371,32.512866,fbt_capability_magic_n40_d4_trial_0_fold_4.json
FBT,magic,0,4,100,4,0.791093,0.783844,0.788117,0.002976,84.60529,fbt_capability_magic_n100_d4_trial_0_fold_4.json
FBT,magic,0,4,100,5,0.792054,0.783096,0.797459,-0.005405,119.889113,fbt_capability_magic_n100_d5_trial_0_fold_4.json
FBT,magic,0,4,40,5,0.798462,0.781601,0.794469,0.003993,78.341513,fbt_capability_magic_n40_d5_trial_0_fold_4.json
FBT,magic,0,4,80,5,0.793976,0.782349,0.798954,-0.004978,117.052679,fbt_capability_magic_n80_d5_trial_0_fold_4.json
FBT,magic,0,4,80,4,0.79152,0.777861,0.788117,0.003403,66.206521,fbt_capability_magic_n80_d4_trial_0_fold_4.json
FBT,magic,0,4,80,3,0.784044,0.75991,0.784006,3.8e-05,36.316487,fbt_capability_magic_n80_d3_trial_0_fold_4.json
FBT,magic,0,4,10,3,0.793015,0.786836,0.793722,-0.000707,2.295764,fbt_capability_magic_n10_d3_trial_0_fold_4.json
FBT,magic,0,4,10,4,0.79953,0.793568,0.793722,0.005808,5.102253,fbt_capability_magic_n10_d4_trial_0_fold_4.json
FBT,magic,0,4,10,5,0.808608,0.78908,0.803064,0.005544,9.458537,fbt_capability_magic_n10_d5_trial_0_fold_4.json
FBT,magic,0,4,20,4,0.797821,0.789828,0.78849,0.009331,16.422196,fbt_capability_magic_n20_d4_trial_0_fold_4.json
