dataset,fold,trial_id,base_seed,random_state,n_estimators,max_depth,n_features,n_train_samples,fit_time_sec,train_acc,val_acc,test_acc,n_trees,total_leaves,mean_leaves_per_tree,std_leaves_per_tree,max_leaves_single_tree,mean_max_depth_per_tree,max_depth_any_tree,n_distinct_split_features,split_feature_entropy_bits
magic,1,0,42,42,60,4,10,9363,0.12010348400000126,0.8703407027662075,0.8489154824233358,0.8475336322869955,60,916,15.266666666666667,1.2364824660660938,16,4.0,4,10,3.0305635037665666
magic,1,0,42,42,60,5,10,9363,0.14974048100000203,0.8849727651393784,0.8511593118922962,0.8523916292974589,60,1725,28.75,3.243583409338094,32,5.0,5,10,3.1369453996526495
magic,1,0,42,42,80,3,10,9363,0.10560210799999936,0.8598739720175158,0.843679880329095,0.843423019431988,80,633,7.9125,0.2825663638864329,8,3.0,3,10,2.9674915415228904
magic,1,0,42,42,80,4,10,9363,0.14688156300000088,0.8768557086403931,0.8459237097980553,0.8535127055306427,80,1202,15.025,1.5081031131855673,16,4.0,4,10,3.098422582622807
magic,1,0,42,42,80,5,10,9363,0.18612192699999852,0.8928762148883904,0.8511593118922962,0.851270553064275,80,2184,27.3,4.720699100768869,32,5.0,5,10,3.1733167352403346
magic,1,0,42,42,100,3,10,9363,0.18897121599999878,0.8648937306418882,0.8444278234854151,0.8456651718983558,100,787,7.87,0.36482872693909396,8,3.0,3,10,3.0071175837188036
magic,1,0,42,42,100,4,10,9363,0.20909788900000592,0.8827298942646588,0.8504113687359761,0.8557548579970105,100,1458,14.58,1.908821626030049,16,4.0,4,10,3.1333935004564437
magic,1,0,42,42,100,5,10,9363,0.24513716999999957,0.9016340916372957,0.8541510845175767,0.8538863976083707,100,2595,25.95,5.501590679067282,32,5.0,5,10,3.2012030791067057
magic,2,0,42,42,10,3,10,9363,0.024578230999999562,0.8028409697746449,0.7898279730740464,0.8090433482810164,10,80,8.0,0.0,8,3.0,3,8,2.498258582470565
magic,2,0,42,42,10,4,10,9363,0.03903732299999518,0.8233472177720816,0.8032909498878086,0.8258594917787743,10,160,16.0,0.0,16,4.0,4,9,2.6914472233640856
magic,2,0,42,42,10,5,10,9363,0.04641433799999817,0.8456691231442913,0.8160059835452506,0.8423019431988041,10,316,31.6,0.66332495807108,32,5.0,5,10,2.990437172402749
magic,2,0,42,42,20,3,10,9363,0.041610495999997,0.8150165545231229,0.8002991772625281,0.8172645739910314,20,160,8.0,0.0,8,3.0,3,9,2.711081111812257
magic,2,0,42,42,20,4,10,9363,0.047621278999997685,0.8384064936451991,0.8145100972326104,0.8355754857997011,20,320,16.0,0.0,16,4.0,4,10,2.8945548416635045
magic,2,0,42,42,20,5,10,9363,0.062792610999999,0.8577379045177828,0.8324607329842932,0.8505231689088192,20,629,31.45,0.8046738469715541,32,5.0,5,10,3.047484564572506
magic,2,0,42,42,40,3,10,9363,0.07656289799999882,0.839688134145039,0.8115183246073299,0.8329596412556054,40,316,7.9,0.3,8,3.0,3,10,2.860740427245359
magic,2,0,42,42,40,4,10,9363,0.08924855299999734,0.8588059382676493,0.8339566192969334,0.8490284005979073,40,627,15.675,0.9051933495115837,16,4.0,4,10,2.9549894068616758
magic,2,0,42,42,40,5,10,9363,0.10588763999999884,0.8740788208907402,0.843679880329095,0.8568759342301944,40,1190,29.75,2.1994317447922773,32,5.0,5,10,3.109468191995753
magic,2,0,42,42,60,3,10,9363,0.08634880199999628,0.8516501121435437,0.8339566192969334,0.8430493273542601,60,474,7.9,0.3,8,3.0,3,10,2.9313697760988493
magic,2,0,42,42,60,4,10,9363,0.12285923900000029,0.8675638150165546,0.8414360508601346,0.852017937219731,60,921,15.35,1.4355602855099237,16,4.0,4,10,3.027976904943682
magic,2,0,42,42,60,5,10,9363,0.16458986300000333,0.8845455516394318,0.8474195961106956,0.8628550074738416,60,1660,27.666666666666668,4.58499969707984,32,5.0,5,10,3.1347473382208193
magic,2,0,42,42,80,3,10,9363,0.11909331100000031,0.8594467585175691,0.8429319371727748,0.850896860986547,80,634,7.925,0.26339134382131846,8,3.0,3,10,2.9861747435168
magic,2,0,42,42,80,4,10,9363,0.2821075430000022,0.8749332478906333,0.8474195961106956,0.8550074738415545,80,1208,15.1,1.6401219466856727,16,4.0,4,10,3.0777411663487015
magic,2,0,42,42,80,5,10,9363,0.1438954639999963,0.8953326925130835,0.8504113687359761,0.8624813153961136,80,2119,26.4875,5.37585748974059,32,5.0,5,10,3.176190276529126
magic,2,0,42,42,100,3,10,9363,0.12724512000000487,0.8653209441418349,0.843679880329095,0.8523916292974589,100,789,7.89,0.34336569426778796,8,3.0,3,10,3.0049534031162533
magic,2,0,42,42,100,4,10,9363,0.18742748900000095,0.8818754672647655,0.8496634255796559,0.8579970104633782,100,1470,14.7,2.0420577856662137,16,4.0,4,10,3.1180926678885723
magic,2,0,42,42,100,5,10,9363,0.20126222800000448,0.9008864680123891,0.8593866866118175,0.8658445440956651,100,2551,25.51,5.795679425227037,32,5.0,5,10,3.2013515820337948
magic,3,0,42,42,10,3,10,9363,0.03520337399999818,0.798248424650219,0.7845923709798055,0.7929745889387145,10,80,8.0,0.0,8,3.0,3,8,2.5031363023319373
magic,3,0,42,42,10,4,10,9363,0.03300649999999905,0.8172594253978426,0.8055347793567689,0.8056801195814649,10,160,16.0,0.0,16,4.0,4,9,2.720889869067666
magic,3,0,42,42,10,5,10,9363,0.02918111099999976,0.8419310050197586,0.8264771877337322,0.8254857997010463,10,313,31.3,0.9,32,5.0,5,10,2.866458641727581
magic,3,0,42,42,20,3,10,9363,0.04080713500000144,0.8137349140232831,0.7928197456993269,0.8165171898355755,20,160,8.0,0.0,8,3.0,3,8,2.640168412832653
magic,3,0,42,42,20,4,10,9363,0.056416663999996786,0.8382996902702126,0.8175018698578908,0.8258594917787743,20,318,15.9,0.3,16,4.0,4,10,2.8633234071522797
magic,3,0,42,42,20,5,10,9363,0.06168824899999947,0.8532521627683435,0.8294689603590127,0.8370702541106129,20,621,31.05,1.243985530462473,32,5.0,5,10,2.9429371806164033
magic,3,0,42,42,40,3,10,9363,0.08652927800000043,0.8397949375200257,0.8219895287958116,0.8389387144992526,40,318,7.95,0.21794494717703367,8,3.0,3,10,2.7671516887657415
magic,3,0,42,42,40,4,10,9363,0.08353898800000081,0.8607283990174089,0.8384442782348541,0.8452914798206278,40,631,15.775,0.41758232721225164,16,4.0,4,10,2.985158730873713
magic,3,0,42,42,40,5,10,9363,0.11520644199999452,0.8733311972658336,0.8414360508601346,0.8479073243647235,40,1218,30.45,1.909842925478428,32,5.0,5,10,3.0878230446543715
magic,3,0,42,42,60,3,10,9363,0.08200473699999833,0.8520773256434904,0.8332086761406133,0.8419282511210763,60,477,7.95,0.21794494717703367,8,3.0,3,10,2.876873088877035
magic,3,0,42,42,60,4,10,9363,0.10048032799999618,0.8705543095161807,0.8459237097980553,0.8535127055306427,60,930,15.5,1.02469507659596,16,4.0,4,10,3.063596606325995
magic,3,0,42,42,60,5,10,9363,0.15932678000000067,0.8836911246395386,0.8474195961106956,0.8546337817638266,60,1735,28.916666666666668,3.6800890689704175,32,5.0,5,10,3.168258315865701
magic,3,0,42,42,80,3,10,9363,0.11077209900000184,0.8600875787674891,0.8399401645474944,0.851644245142003,80,636,7.95,0.21794494717703367,8,3.0,3,10,2.9443599652840517
magic,3,0,42,42,80,4,10,9363,0.10687030599999758,0.8779237423902595,0.8459237097980553,0.8568759342301944,80,1227,15.3375,1.2839757591169703,16,4.0,4,10,3.1152927438431055
magic,3,0,42,42,80,5,10,9363,0.18075945500000046,0.8949054790131368,0.8481675392670157,0.8565022421524664,80,2225,27.8125,4.536225716385815,32,5.0,5,10,3.2055653889809568
